Elvation Azimuth       Counts
 -178.50  -89.00   0.00231802
 -177.50  -89.00   0.00231762
 -176.50  -89.00   0.00231725
 -175.50  -89.00   0.00231690
 -174.50  -89.00   0.00231657
 -173.50  -89.00   0.00231626
 -172.50  -89.00   0.00231598
 -171.50  -89.00   0.00231572
 -170.50  -89.00   0.00231548
 -169.50  -89.00   0.00231527
 -168.50  -89.00   0.00231508
 -167.50  -89.00   0.00231492
 -166.50  -89.00   0.00231478
 -165.50  -89.00   0.00231468
 -164.50  -89.00   0.00231460
 -163.50  -89.00   0.00231455
 -162.50  -89.00   0.00231453
 -161.50  -89.00   0.00231453
 -160.50  -89.00   0.00231457
 -159.50  -89.00   0.00231464
 -158.50  -89.00   0.00231474
 -157.50  -89.00   0.00231487
 -156.50  -89.00   0.00231504
 -155.50  -89.00   0.00231524
 -154.50  -89.00   0.00231547
 -153.50  -89.00   0.00231573
 -152.50  -89.00   0.00231603
 -151.50  -89.00   0.00231637
 -150.50  -89.00   0.00231674
 -149.50  -89.00   0.00231714
 -148.50  -89.00   0.00231758
 -147.50  -89.00   0.00231806
 -146.50  -89.00   0.00231858
 -145.50  -89.00   0.00231913
 -144.50  -89.00   0.00231972
 -143.50  -89.00   0.00232034
 -142.50  -89.00   0.00232101
 -141.50  -89.00   0.00232171
 -140.50  -89.00   0.00232245
 -139.50  -89.00   0.00232323
 -138.50  -89.00   0.00232404
 -137.50  -89.00   0.00232490
 -136.50  -89.00   0.00232579
 -135.50  -89.00   0.00232672
 -134.50  -89.00   0.00232769
 -133.50  -89.00   0.00232870
 -132.50  -89.00   0.00232975
 -131.50  -89.00   0.00233083
 -130.50  -89.00   0.00233196
 -129.50  -89.00   0.00233312
 -128.50  -89.00   0.00233432
 -127.50  -89.00   0.00233555
 -126.50  -89.00   0.00233683
 -125.50  -89.00   0.00233814
 -124.50  -89.00   0.00233949
 -123.50  -89.00   0.00234087
 -122.50  -89.00   0.00234229
 -121.50  -89.00   0.00234375
 -120.50  -89.00   0.00234524
 -119.50  -89.00   0.00234677
 -118.50  -89.00   0.00234833
 -117.50  -89.00   0.00234993
 -116.50  -89.00   0.00235155
 -115.50  -89.00   0.00235322
 -114.50  -89.00   0.00235491
